ImageId,Class
0,1
1,0
2,0
3,1
4,0
5,1
6,0
7,1
8,0
9,1
10,0
11,1
12,1
13,0
14,1
15,0
16,0
17,0
18,1
19,1
20,0
21,1
22,0
23,1
24,1
25,1
26,0
27,0
28,0
29,1
30,1
31,0
32,1
33,1
34,1
35,1
36,0
37,0
38,1
39,1
40,0
41,1
42,1
43,0
44,0
45,0
46,1
47,1
48,0
49,0
50,0
51,0
52,0
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,0
62,0
63,1
64,1
65,0
66,0
67,0
68,1
69,0
70,0
71,1
72,1
73,1
74,1
75,0
76,0
77,0
78,0
79,0
80,1
81,0
82,1
83,0
84,0
85,0
86,0
87,1
88,1
89,0
90,1
91,0
92,0
93,1
94,1
95,0
96,0
97,0
98,0
99,1
100,0
101,1
102,1
103,1
104,0
105,0
106,0
107,1
108,0
109,0
110,0
111,1
112,1
113,0
114,0
115,1
116,1
117,0
118,1
119,1
120,1
121,0
122,1
123,0
124,1
125,0
126,1
127,0
128,0
129,0
130,1
131,1
132,1
133,0
134,0
135,0
136,1
137,0
138,1
139,0
140,0
141,1
142,1
143,1
144,0
145,1
146,0
147,1
148,1
149,0
150,0
151,0
152,0
153,0
154,1
155,0
156,0
157,0
158,1
159,0
160,1
161,1
162,0
163,0
164,1
165,1
166,0
167,1
168,0
169,1
170,0
171,0
172,1
173,1
174,0
175,1
176,1
177,0
178,0
179,1
180,1
181,1
182,0
183,0
184,0
185,1
186,0
187,0
188,1
189,0
190,1
191,1
192,1
193,1
194,0
195,1
196,1
197,0
198,1
199,0
200,0
201,0
202,1
203,1
204,0
205,1
206,0
207,0
208,0
209,1
210,0
211,0
212,1
213,1
214,0
215,1
216,1
217,1
218,1
219,1
220,0
221,1
222,1
223,0
224,0
225,0
226,0
227,0
228,1
229,0
230,0
231,0
232,1
233,0
234,0
235,0
236,1
237,0
238,1
239,1
240,0
241,0
242,0
243,0
244,1
245,0
246,1
247,1
248,1
249,1
250,0
251,1
252,0
253,0
254,0
255,1
256,0
257,1
258,0
259,1
260,1
261,0
262,1
263,1
264,0
265,0
266,0
267,1
268,1
269,0
270,0
271,1
272,0
273,0
274,0
275,0
276,1
277,1
278,1
279,0
280,1
281,0
282,0
283,0
284,1
285,0
286,1
287,1
288,1
289,0
290,1
291,0
292,1
293,1
294,1
295,1
296,0
297,0
298,0
299,1
